Samples,204252_at,211803_at,211804_s_at,Class
GSM637954,1743.34,1.98,11.29,1
GSM637955,963.82,1.73,10.14,1
GSM637956,858.1,1.24,12.14,1
GSM637957,658.1,1.04,8.35,1
GSM637958,910.71,4.63,11.85,1
GSM637959,1308.48,2.64,35.08,1
GSM637960,896.96,1.57,37.98,1
GSM637961,759.98,2.13,27.29,1
GSM637962,873.14,4.4,22.26,1
GSM637963,954.68,1.53,10.09,1
GSM637966,94.93,6.74,3.93,1
GSM637967,91.75,5.52,9.02,1
GSM637968,97.23,7.83,12.26,1
GSM637969,83.26,4.34,9.24,1
GSM986540,35.5,5.146,7.682,1
GSM986541,14.52,5.207000000000001,5.95,1
GSM986542,14.18,5.148,7.38,1
GSM986543,42.11,5.06,6.229,1
GSM986544,28.46,5.143,5.7860000000000005,1
GSM986545,21.52,5.117,5.985,1
GSM986546,16.66,5.138999999999999,5.811,1
GSM986547,23.67,5.17,6.495,1
GSM986548,10.76,5.777,6.022,1
GSM986549,10.78,5.242000000000001,5.907,1
